epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,313.626,1.25253,11.4872,0.02132,0.57609,0.49978,0.52236,0.29486,1.50912,1.6613,0.03944,0.000415617,0.000415617,0.000415617
2,560.49,1.4524,1.94261,0.02422,0.55354,0.45302,0.50169,0.28864,1.59836,1.67864,0.04219,0.000824044,0.000824044,0.000824044
3,781.621,1.50005,1.70016,0.0253,0.62914,0.47045,0.5036,0.30856,1.51387,1.70861,0.03947,0.00122422,0.00122422,0.00122422
4,989.586,1.46319,1.57397,0.02484,0.68767,0.63145,0.68109,0.37762,1.55911,1.20411,0.04037,0.00121287,0.00121287,0.00121287
5,1215.75,1.41183,1.44506,0.02342,0.70453,0.67246,0.70616,0.45109,1.32856,0.98878,0.03408,0.0012005,0.0012005,0.0012005
6,1434.86,1.33724,1.31069,0.02155,0.62179,0.5895,0.6501,0.41805,1.30888,1.31464,0.03336,0.00118812,0.00118812,0.00118812
7,1653.67,1.30492,1.24205,0.02111,0.78321,0.68831,0.7576,0.49946,1.19164,0.9503,0.02966,0.00117575,0.00117575,0.00117575
8,1866.87,1.28445,1.20734,0.02069,0.77863,0.74967,0.7902,0.51055,1.20886,0.87038,0.02916,0.00116337,0.00116337,0.00116337
9,2090.26,1.26075,1.18054,0.02019,0.81023,0.73548,0.79342,0.50727,1.2502,0.80888,0.03106,0.001151,0.001151,0.001151
10,2302.24,1.22479,1.11459,0.01988,0.81444,0.73187,0.80695,0.54314,1.16497,0.79045,0.02885,0.00113863,0.00113863,0.00113863
11,2508.7,1.21141,1.08686,0.01921,0.82241,0.76529,0.8208,0.53918,1.21523,0.7609,0.03086,0.00112625,0.00112625,0.00112625
12,2721.14,1.21582,1.07953,0.01937,0.83619,0.75854,0.82905,0.5532,1.1816,0.7996,0.0289,0.00111388,0.00111388,0.00111388
13,2936.16,1.19117,1.03604,0.01868,0.83887,0.77243,0.82659,0.5545,1.19507,0.70461,0.02846,0.0011015,0.0011015,0.0011015
14,3141,1.17646,0.99561,0.01829,0.86204,0.76563,0.83605,0.57473,1.16032,0.6604,0.02793,0.00108913,0.00108913,0.00108913
15,3348.86,1.16315,0.97839,0.01825,0.86634,0.7485,0.83644,0.58817,1.08507,0.70947,0.0258,0.00107675,0.00107675,0.00107675
16,3557.45,1.13167,0.93579,0.01782,0.8382,0.80258,0.847,0.58457,1.08179,0.65571,0.02557,0.00106437,0.00106437,0.00106437
17,3762.31,1.12138,0.94963,0.01767,0.8427,0.76844,0.82703,0.56739,1.08116,0.70515,0.02611,0.001052,0.001052,0.001052
18,3968.82,1.12159,0.92094,0.01783,0.81434,0.79626,0.85396,0.58665,1.09074,0.67583,0.02651,0.00103962,0.00103962,0.00103962
19,4174.44,1.10928,0.88711,0.01725,0.83866,0.77698,0.83648,0.58109,1.08276,0.6911,0.02647,0.00102725,0.00102725,0.00102725
20,4378.42,1.0852,0.88308,0.01709,0.84296,0.78695,0.85796,0.60945,1.05199,0.65666,0.02562,0.00101488,0.00101488,0.00101488
21,4582.74,1.07321,0.86217,0.01668,0.81944,0.82019,0.85063,0.5955,1.0726,0.65885,0.02586,0.0010025,0.0010025,0.0010025
22,4788.02,1.06325,0.81516,0.01646,0.85297,0.81624,0.85818,0.60076,1.07445,0.65027,0.02556,0.000990125,0.000990125,0.000990125
23,4991.39,1.08462,0.85406,0.01659,0.8844,0.83893,0.89753,0.63706,1.02179,0.53689,0.02467,0.00097775,0.00097775,0.00097775
24,5195.35,1.04065,0.82832,0.01601,0.90531,0.82027,0.88428,0.62878,1.07161,0.59579,0.02645,0.000965375,0.000965375,0.000965375
