epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1258.63,1.42272,2.3835,1.64519,0.73434,0.62015,0.67703,0.48839,1.42037,1.87056,1.67326,0.0670138,0.000333194,0.000333194
2,2416.64,1.23564,1.54531,1.49047,0.85702,0.69941,0.76369,0.5792,1.31346,1.46439,1.55423,0.0340006,0.00065333,0.00065333
3,3536.27,1.16312,1.31406,1.42014,0.82001,0.75162,0.78866,0.60992,1.2868,1.2956,1.49099,0.000974196,0.000960266,0.000960266
4,4690.42,1.1421,1.20673,1.38777,0.83761,0.77322,0.80638,0.63079,1.26221,1.20144,1.44644,0.0009406,0.0009406,0.0009406
5,5852.53,1.11718,1.12972,1.36439,0.87872,0.7791,0.81787,0.64869,1.24691,1.16538,1.42665,0.0009208,0.0009208,0.0009208
6,7001.33,1.08762,1.08345,1.34721,0.85903,0.78763,0.82138,0.65092,1.22223,1.14674,1.41324,0.000901,0.000901,0.000901
7,8171.96,1.05608,1.0432,1.32216,0.86877,0.79412,0.82311,0.65908,1.22377,1.12091,1.4039,0.0008812,0.0008812,0.0008812
8,9335.28,1.04041,1.01445,1.31336,0.85388,0.80294,0.82797,0.66338,1.19505,1.11297,1.38031,0.0008614,0.0008614,0.0008614
9,10516.7,1.02467,0.98571,1.30192,0.89578,0.78743,0.83039,0.66532,1.19918,1.10013,1.38318,0.0008416,0.0008416,0.0008416
10,11676.5,1.02587,0.98367,1.30425,0.88762,0.80568,0.83833,0.68014,1.16903,1.0504,1.36135,0.0008218,0.0008218,0.0008218
11,12867,1.00663,0.96361,1.29014,0.87392,0.81296,0.83498,0.67844,1.16175,1.05281,1.35753,0.000802,0.000802,0.000802
12,14059.6,0.99948,0.93771,1.27843,0.87456,0.80736,0.8389,0.68197,1.1592,1.04668,1.34424,0.0007822,0.0007822,0.0007822
13,15223.4,0.99582,0.93672,1.27639,0.87898,0.80921,0.84045,0.68428,1.15051,1.04004,1.35458,0.0007624,0.0007624,0.0007624
14,16405,0.9803,0.90878,1.26874,0.88824,0.80706,0.84204,0.6891,1.15977,1.04379,1.35893,0.0007426,0.0007426,0.0007426
15,17582.6,0.97649,0.91317,1.27086,0.87658,0.81017,0.84132,0.69165,1.14446,1.01715,1.33629,0.0007228,0.0007228,0.0007228
16,18748.6,0.96497,0.89538,1.26134,0.88282,0.81388,0.843,0.69282,1.13255,1.01131,1.33875,0.000703,0.000703,0.000703
17,19887.3,0.97248,0.90078,1.26441,0.89047,0.81473,0.84355,0.69444,1.11714,1.00718,1.32914,0.0006832,0.0006832,0.0006832
18,20976.6,0.95869,0.88212,1.25229,0.88533,0.82031,0.84542,0.69602,1.12558,0.98812,1.32128,0.0006634,0.0006634,0.0006634
19,22125.9,0.95704,0.87749,1.25092,0.87634,0.81798,0.84732,0.69793,1.11527,0.98962,1.32109,0.0006436,0.0006436,0.0006436
20,23291.2,0.94139,0.85701,1.24019,0.87018,0.82949,0.84679,0.69876,1.11509,0.98126,1.31824,0.0006238,0.0006238,0.0006238
21,24458.4,0.94631,0.85634,1.24181,0.8772,0.8256,0.84798,0.70326,1.10377,0.96979,1.31686,0.000604,0.000604,0.000604
22,25647.4,0.93217,0.83631,1.23527,0.88084,0.8243,0.84714,0.70206,1.12245,0.97636,1.32677,0.0005842,0.0005842,0.0005842
23,26879.9,0.92707,0.84134,1.23182,0.89231,0.8261,0.8516,0.70569,1.10471,0.96714,1.31452,0.0005644,0.0005644,0.0005644
