epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1212.23,1.4391,2.72505,2.65017,0.76946,0.44138,0.53232,0.39447,1.21968,1.96553,2.35923,0.0670092,0.000333241,0.000333241
2,2235.07,1.21033,1.69548,2.37239,0.68595,0.64545,0.6993,0.52778,1.04962,1.4378,2.22124,0.033996,0.000653376,0.000653376
3,3259.46,1.0668,1.30359,2.25302,0.75138,0.72565,0.76081,0.58042,0.94868,1.23121,2.15579,0.000969563,0.000960311,0.000960311
4,4269.21,0.95994,1.08744,2.19135,0.81783,0.75152,0.79998,0.62866,0.89167,1.04106,2.08954,0.0009406,0.0009406,0.0009406
5,5258.45,0.89684,0.95034,2.12431,0.83257,0.77608,0.8179,0.66245,0.83291,0.93172,2.04444,0.0009208,0.0009208,0.0009208
6,6183.61,0.85187,0.87566,2.0805,0.83335,0.78719,0.82736,0.66606,0.81299,0.86685,2.01337,0.000901,0.000901,0.000901
7,7085.76,0.80728,0.81513,2.04863,0.84548,0.79813,0.84311,0.69005,0.78528,0.80071,1.97572,0.0008812,0.0008812,0.0008812
8,7998.07,0.78154,0.77613,2.02263,0.86093,0.80551,0.85021,0.70069,0.76436,0.77447,1.96111,0.0008614,0.0008614,0.0008614
9,8964.55,0.76114,0.74643,1.99312,0.86214,0.80325,0.85246,0.70572,0.75577,0.76648,1.93402,0.0008416,0.0008416,0.0008416
10,9947.45,0.73926,0.71565,1.98766,0.85304,0.82673,0.85989,0.71186,0.74567,0.73413,1.93977,0.0008218,0.0008218,0.0008218
11,10911.5,0.72389,0.68879,1.96349,0.87504,0.8117,0.86042,0.71921,0.73199,0.71077,1.91306,0.000802,0.000802,0.000802
12,11800.1,0.70349,0.66745,1.92433,0.86929,0.80925,0.86241,0.72263,0.72121,0.71692,1.91284,0.0007822,0.0007822,0.0007822
13,12686.1,0.69452,0.64763,1.9348,0.86271,0.82786,0.86784,0.73307,0.70481,0.70109,1.89514,0.0007624,0.0007624,0.0007624
14,13609.3,0.68413,0.63937,1.9238,0.86084,0.82925,0.86376,0.73077,0.7039,0.6838,1.8773,0.0007426,0.0007426,0.0007426
15,14609.1,0.67505,0.62767,1.91889,0.86408,0.83394,0.86822,0.73942,0.69379,0.67409,1.87407,0.0007228,0.0007228,0.0007228
16,15553.9,0.66516,0.61459,1.90729,0.869,0.8261,0.87078,0.73894,0.69626,0.67136,1.87265,0.000703,0.000703,0.000703
17,16460.1,0.66095,0.60718,1.89217,0.88137,0.82253,0.87273,0.73755,0.68468,0.66861,1.86008,0.0006832,0.0006832,0.0006832
18,17347.7,0.64759,0.59085,1.89525,0.87894,0.83328,0.87459,0.74472,0.67683,0.65916,1.86269,0.0006634,0.0006634,0.0006634
19,18233.4,0.64334,0.58863,1.8745,0.87356,0.8347,0.87955,0.75042,0.67541,0.65974,1.85526,0.0006436,0.0006436,0.0006436
20,19131,0.64056,0.57709,1.86022,0.87624,0.8397,0.87725,0.74988,0.66481,0.64321,1.83839,0.0006238,0.0006238,0.0006238
21,20060.1,0.63207,0.5677,1.84505,0.88205,0.83182,0.87602,0.74721,0.67337,0.64506,1.84457,0.000604,0.000604,0.000604
22,21037.9,0.62122,0.55986,1.86018,0.88195,0.83393,0.8761,0.75074,0.66533,0.63652,1.83482,0.0005842,0.0005842,0.0005842
23,22040.7,0.61746,0.55071,1.85908,0.88933,0.83259,0.8798,0.75193,0.67067,0.63513,1.8417,0.0005644,0.0005644,0.0005644
24,22955.9,0.61292,0.54428,1.84393,0.87634,0.84468,0.87916,0.7561,0.64974,0.62531,1.81545,0.0005446,0.0005446,0.0005446
25,23927.5,0.60577,0.53948,1.82174,0.87587,0.83519,0.87935,0.75476,0.65176,0.62473,1.82933,0.0005248,0.0005248,0.0005248
26,24889.6,0.60291,0.5301,1.83628,0.88915,0.83308,0.88111,0.7594,0.64122,0.61854,1.81454,0.000505,0.000505,0.000505
27,25831.2,0.59614,0.52609,1.83273,0.87924,0.83665,0.88101,0.7567,0.65207,0.62067,1.82428,0.0004852,0.0004852,0.0004852
28,26761.1,0.59589,0.52317,1.8125,0.88126,0.83558,0.88476,0.76318,0.63949,0.61343,1.81319,0.0004654,0.0004654,0.0004654
29,27703,0.58551,0.51346,1.80505,0.88392,0.8444,0.88382,0.76353,0.63885,0.59984,1.81058,0.0004456,0.0004456,0.0004456
30,28654.8,0.58689,0.51367,1.82717,0.87725,0.84689,0.88437,0.76407,0.63967,0.59953,1.81297,0.0004258,0.0004258,0.0004258
31,29596.4,0.58419,0.50955,1.79599,0.88311,0.83604,0.881,0.75503,0.64851,0.61571,1.81031,0.000406,0.000406,0.000406
32,30529.7,0.57718,0.50209,1.80186,0.87463,0.84383,0.87987,0.75915,0.64314,0.60926,1.81922,0.0003862,0.0003862,0.0003862
