epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.871,1.31398,1.78006,2.62091,0.7615,0.77004,0.81598,0.61331,1.016,0.96684,2.62287,0.000415713,0.000415713,0.000415713
2,571.447,1.13937,1.1321,2.41677,0.81298,0.79481,0.83255,0.63157,0.96039,0.86389,2.67562,0.000815899,0.000815899,0.000815899
3,851.707,1.09486,1.08058,2.36846,0.84705,0.8378,0.86713,0.68034,0.86137,0.77898,2.59173,0.00119958,0.00119958,0.00119958
4,1135.38,1.03493,1.01889,2.33374,0.82715,0.82642,0.86754,0.69931,0.79838,0.74769,2.54152,0.00117575,0.00117575,0.00117575
5,1417.31,0.99423,0.95926,2.30805,0.87357,0.84367,0.88603,0.71912,0.77876,0.67646,2.50784,0.001151,0.001151,0.001151
6,1698.93,0.95677,0.91348,2.2877,0.88613,0.82224,0.8879,0.72808,0.73606,0.6915,2.5243,0.00112625,0.00112625,0.00112625
7,1981.42,0.92417,0.87777,2.24382,0.89319,0.85568,0.89678,0.74402,0.71916,0.64693,2.45402,0.0011015,0.0011015,0.0011015
8,2265.56,0.89966,0.83946,2.2353,0.87903,0.87047,0.89615,0.74632,0.70399,0.60643,2.39358,0.00107675,0.00107675,0.00107675
9,2550.7,0.87063,0.79748,2.19597,0.87838,0.87012,0.90882,0.76714,0.68859,0.57587,2.37741,0.001052,0.001052,0.001052
10,2833.46,0.86609,0.79393,2.21157,0.90248,0.85858,0.90812,0.75919,0.71389,0.57495,2.36264,0.00102725,0.00102725,0.00102725
11,3117.49,0.85627,0.78057,2.18867,0.89188,0.87799,0.91215,0.7788,0.66104,0.5331,2.32723,0.0010025,0.0010025,0.0010025
12,3400.02,0.83615,0.74717,2.16674,0.90133,0.87749,0.91429,0.78297,0.64588,0.52721,2.33787,0.00097775,0.00097775,0.00097775
13,3682.94,0.82621,0.74126,2.16754,0.90257,0.86774,0.91546,0.78634,0.62877,0.52723,2.30413,0.000953,0.000953,0.000953
14,3965.2,0.81168,0.72092,2.154,0.92,0.87181,0.92132,0.79766,0.61115,0.49548,2.28743,0.00092825,0.00092825,0.00092825
15,4247.87,0.8045,0.71348,2.14149,0.90229,0.88747,0.92034,0.79543,0.61313,0.5016,2.28308,0.0009035,0.0009035,0.0009035
16,4529.53,0.78199,0.69053,2.12173,0.90626,0.88939,0.92047,0.80098,0.59385,0.49833,2.25568,0.00087875,0.00087875,0.00087875
