epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,268.039,0.93214,1.61109,1.26485,0.79207,0.72488,0.76665,0.52418,1.0543,1.61743,1.40983,0.000475194,0.000475194,0.000475194
2,529.593,0.98191,1.1068,1.28859,0.76166,0.76348,0.79197,0.53257,1.04842,1.19833,1.43787,0.000932687,0.000932687,0.000932687
3,789.142,0.98555,0.98964,1.29324,0.80273,0.71188,0.80459,0.51742,1.12011,1.05978,1.4817,0.00137132,0.00137132,0.00137132
4,1049.94,0.96725,0.91249,1.27841,0.84374,0.78718,0.85832,0.61847,0.91083,0.88158,1.29033,0.00134412,0.00134412,0.00134412
5,1311.17,0.92064,0.84676,1.24785,0.82139,0.71523,0.80882,0.58192,0.95641,1.02354,1.35654,0.00131582,0.00131582,0.00131582
6,1571.25,0.8972,0.80856,1.23466,0.87341,0.8411,0.90545,0.69152,0.83779,0.62954,1.22745,0.00128753,0.00128753,0.00128753
7,1831.39,0.85365,0.74924,1.20496,0.89491,0.83757,0.91239,0.7012,0.79769,0.60466,1.18407,0.00125923,0.00125923,0.00125923
8,2092.4,0.83378,0.72423,1.19149,0.8954,0.84512,0.92538,0.73013,0.75466,0.571,1.14571,0.00123094,0.00123094,0.00123094
9,2353.44,0.82433,0.69974,1.18351,0.88386,0.85004,0.91492,0.7253,0.73531,0.57279,1.13861,0.00120265,0.00120265,0.00120265
10,2612.41,0.80521,0.6795,1.17146,0.90881,0.84167,0.92184,0.72807,0.76079,0.55032,1.15471,0.00117435,0.00117435,0.00117435
11,2873.03,0.79656,0.66466,1.16727,0.90862,0.85596,0.93385,0.7454,0.72282,0.52968,1.13484,0.00114606,0.00114606,0.00114606
12,3130.3,0.78061,0.66749,1.1591,0.89847,0.8605,0.92318,0.73026,0.73945,0.54008,1.143,0.00111776,0.00111776,0.00111776
13,3389.88,0.77136,0.63873,1.15579,0.91721,0.8519,0.93332,0.74945,0.72418,0.53108,1.11272,0.00108947,0.00108947,0.00108947
14,3644.78,0.76072,0.62228,1.14686,0.92659,0.88138,0.94438,0.773,0.69329,0.48722,1.10419,0.00106118,0.00106118,0.00106118
15,3896.86,0.74856,0.61793,1.14046,0.9134,0.86319,0.93166,0.75389,0.68614,0.52806,1.09367,0.00103288,0.00103288,0.00103288
16,4147.7,0.73837,0.60041,1.13342,0.90951,0.87261,0.93942,0.77865,0.66602,0.47462,1.08053,0.00100459,0.00100459,0.00100459
17,4397.79,0.73491,0.58895,1.12868,0.93972,0.88252,0.95135,0.78652,0.6716,0.46551,1.07239,0.000976293,0.000976293,0.000976293
18,4649.17,0.73341,0.58155,1.13193,0.88924,0.88263,0.92722,0.75944,0.68285,0.49932,1.07968,0.000947999,0.000947999,0.000947999
19,4900.39,0.72169,0.57747,1.11776,0.92316,0.9079,0.95901,0.80328,0.64432,0.43774,1.05637,0.000919704,0.000919704,0.000919704
20,5152.29,0.70961,0.56443,1.11525,0.94229,0.88887,0.95413,0.80167,0.64145,0.4376,1.05087,0.00089141,0.00089141,0.00089141
21,5401.87,0.71157,0.55496,1.11328,0.92075,0.89777,0.95341,0.80177,0.64178,0.43578,1.05392,0.000863116,0.000863116,0.000863116
22,5651.01,0.69893,0.54748,1.10645,0.91149,0.90756,0.95289,0.80305,0.63242,0.45154,1.0377,0.000834822,0.000834822,0.000834822
23,5905.03,0.69186,0.53634,1.10246,0.94261,0.90101,0.95989,0.8184,0.62009,0.40238,1.0345,0.000806528,0.000806528,0.000806528
24,6157.92,0.68067,0.52741,1.09558,0.92501,0.91234,0.96057,0.81353,0.61565,0.41742,1.0263,0.000778233,0.000778233,0.000778233
25,6411.03,0.67727,0.51764,1.09091,0.93826,0.89754,0.95782,0.81407,0.62005,0.40217,1.03247,0.000749939,0.000749939,0.000749939
26,6664.96,0.68234,0.52895,1.09394,0.94192,0.91378,0.96218,0.82292,0.60332,0.39975,1.01955,0.000721645,0.000721645,0.000721645
27,6921.33,0.6672,0.50961,1.08271,0.93994,0.93184,0.96678,0.82721,0.60364,0.38047,1.01583,0.000693351,0.000693351,0.000693351
28,7176.02,0.66364,0.50424,1.08444,0.94756,0.91231,0.96524,0.8281,0.60131,0.3919,1.01583,0.000665057,0.000665057,0.000665057
29,7429.33,0.66069,0.5024,1.08121,0.94062,0.91475,0.96669,0.82455,0.61596,0.39085,1.02674,0.000636762,0.000636762,0.000636762
30,7684.19,0.66134,0.49847,1.08229,0.9382,0.93323,0.96794,0.83422,0.58264,0.37045,0.99842,0.000608468,0.000608468,0.000608468
31,7938.56,0.64878,0.48525,1.07374,0.94292,0.92723,0.96792,0.84296,0.57321,0.37997,0.98613,0.000580174,0.000580174,0.000580174
32,8193.02,0.6412,0.47409,1.0672,0.94297,0.93252,0.9656,0.83638,0.57796,0.37834,1.00255,0.00055188,0.00055188,0.00055188
33,8447.39,0.63684,0.47321,1.06506,0.95352,0.93381,0.96871,0.84462,0.5706,0.35915,0.98988,0.000523586,0.000523586,0.000523586
34,8702.1,0.63664,0.47206,1.06168,0.94581,0.93482,0.97038,0.84305,0.57381,0.3629,0.99303,0.000495291,0.000495291,0.000495291
35,8959.06,0.62417,0.46581,1.06058,0.95955,0.92136,0.97108,0.85222,0.56348,0.3582,0.97975,0.000466997,0.000466997,0.000466997
36,9218.29,0.62208,0.45475,1.05697,0.94773,0.93103,0.97281,0.85016,0.55605,0.35479,0.97303,0.000438703,0.000438703,0.000438703
37,9475.13,0.61073,0.44784,1.05144,0.95489,0.93817,0.97458,0.85171,0.56203,0.3431,0.98127,0.000410409,0.000410409,0.000410409
38,9735.05,0.60852,0.43935,1.04733,0.94999,0.93631,0.97246,0.85214,0.55888,0.34716,0.97659,0.000382115,0.000382115,0.000382115
39,9995.75,0.60849,0.44451,1.04843,0.96268,0.93172,0.973,0.85798,0.54789,0.3367,0.96945,0.00035382,0.00035382,0.00035382
40,10255.6,0.60193,0.43141,1.0456,0.95923,0.93484,0.97599,0.85485,0.5531,0.33358,0.97379,0.000325526,0.000325526,0.000325526
41,10505.5,0.53435,0.34509,1.0114,0.95808,0.92495,0.9738,0.85539,0.55773,0.33661,0.97756,0.000297232,0.000297232,0.000297232
42,10754.2,0.52132,0.32736,1.00343,0.95289,0.94441,0.97469,0.85874,0.5451,0.32727,0.96794,0.000268938,0.000268938,0.000268938
43,11003.4,0.52012,0.32582,1.00368,0.9575,0.94155,0.9751,0.86583,0.53916,0.33163,0.95842,0.000240644,0.000240644,0.000240644
44,11253.1,0.50586,0.31381,0.99045,0.95056,0.94552,0.97672,0.87004,0.52995,0.32219,0.95304,0.000212349,0.000212349,0.000212349
45,11501.8,0.50506,0.30885,0.99119,0.95552,0.93899,0.97759,0.87039,0.52849,0.31806,0.94886,0.000184055,0.000184055,0.000184055
46,11750.4,0.49923,0.30314,0.98461,0.95903,0.94283,0.97774,0.87315,0.52416,0.31805,0.94737,0.000155761,0.000155761,0.000155761
47,11995.6,0.4929,0.29859,0.98317,0.96021,0.93833,0.97744,0.87724,0.51997,0.3131,0.9466,0.000127467,0.000127467,0.000127467
48,12241.2,0.48346,0.29012,0.97622,0.9548,0.94552,0.97848,0.87724,0.51927,0.30941,0.94426,9.91726e-05,9.91726e-05,9.91726e-05
49,12483.6,0.47773,0.28371,0.97234,0.96403,0.93957,0.97804,0.87621,0.51889,0.3081,0.9434,7.08784e-05,7.08784e-05,7.08784e-05
50,12726.6,0.4733,0.28281,0.97037,0.96251,0.94267,0.9785,0.87829,0.51559,0.30516,0.94036,4.25842e-05,4.25842e-05,4.25842e-05
