epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,256.988,1.48779,2.10174,2.6374,0.7735,0.76698,0.80091,0.59077,1.05162,0.9638,2.50991,0.00332952,0.00332952,0.00332952
2,505.544,1.17895,1.21896,2.3304,0.80562,0.8091,0.82713,0.63541,0.92079,0.88125,2.37244,0.00659689,0.00659689,0.00659689
3,753.16,1.12593,1.12889,2.28031,0.79145,0.82323,0.8415,0.65555,0.90128,0.79458,2.35036,0.00979826,0.00979826,0.00979826
4,1000.63,1.11346,1.12712,2.29034,0.832,0.8047,0.85459,0.67029,0.86253,0.80875,2.37685,0.009703,0.009703,0.009703
5,1249.84,1.06089,1.06527,2.24731,0.84075,0.81792,0.87281,0.7017,0.80577,0.72099,2.27262,0.009604,0.009604,0.009604
6,1499.34,1.03288,1.02359,2.22592,0.85459,0.83754,0.87352,0.71275,0.78492,0.72387,2.21159,0.009505,0.009505,0.009505
7,1751.75,0.99991,0.98075,2.17736,0.88374,0.84132,0.8843,0.73078,0.7263,0.66057,2.17553,0.009406,0.009406,0.009406
8,2002.69,0.97723,0.96934,2.17784,0.8838,0.85099,0.89256,0.74092,0.72394,0.67084,2.1556,0.009307,0.009307,0.009307
9,2253.94,0.94907,0.92701,2.13304,0.86411,0.86093,0.89676,0.73953,0.7296,0.64749,2.16484,0.009208,0.009208,0.009208
10,2509.33,0.93964,0.92146,2.14469,0.87499,0.85329,0.89089,0.74404,0.69429,0.62947,2.11656,0.009109,0.009109,0.009109
11,2758.22,0.93346,0.90406,2.12489,0.88111,0.85223,0.89262,0.75254,0.68234,0.62198,2.107,0.00901,0.00901,0.00901
12,3004.99,0.91281,0.88009,2.12592,0.87304,0.86822,0.8917,0.75995,0.67658,0.59222,2.09932,0.008911,0.008911,0.008911
13,3251.88,0.90188,0.86384,2.10779,0.8831,0.86994,0.90546,0.77128,0.65052,0.59076,2.06289,0.008812,0.008812,0.008812
14,3498.51,0.88668,0.84656,2.08923,0.89244,0.8506,0.89782,0.75994,0.66332,0.59504,2.06589,0.008713,0.008713,0.008713
15,3746.37,0.88308,0.84378,2.09965,0.90846,0.86395,0.91425,0.78396,0.63556,0.55316,2.03628,0.008614,0.008614,0.008614
16,3994.47,0.86619,0.82856,2.08182,0.89756,0.85931,0.91119,0.77814,0.63965,0.55802,2.03249,0.008515,0.008515,0.008515
17,4240.26,0.8754,0.82903,2.06216,0.88962,0.87344,0.90803,0.78307,0.6316,0.55496,2.01447,0.008416,0.008416,0.008416
