epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,460.097,1.28957,1.74332,2.65854,0.68972,0.65476,0.68766,0.47008,1.02803,4.64471,2.44832,0.000475419,0.000475419,0.000475419
2,902.26,1.14351,1.1038,2.49601,0.70288,0.69972,0.71023,0.4973,1.07845,2.21279,2.64946,0.000932908,0.000932908,0.000932908
3,1343.81,1.09129,1.05936,2.45626,0.67241,0.69784,0.72983,0.52947,0.91216,2.4392,2.43307,0.00137153,0.00137153,0.00137153
4,1786.56,1.0391,1.00731,2.41972,0.76036,0.71474,0.73029,0.55994,0.81625,2.09049,2.46968,0.00134412,0.00134412,0.00134412
5,2231.73,0.99299,0.94863,2.38031,0.81581,0.72944,0.75142,0.58128,0.88035,2.75858,2.30088,0.00131582,0.00131582,0.00131582
6,2673.61,0.95049,0.90397,2.34562,0.77097,0.71999,0.75277,0.58958,0.80302,1.69097,2.3416,0.00128753,0.00128753,0.00128753
7,3115.68,0.93199,0.87966,2.32594,0.78331,0.74615,0.77575,0.60673,0.81025,1.54449,2.3038,0.00125923,0.00125923,0.00125923
8,3557.59,0.90467,0.85314,2.30511,0.77934,0.72754,0.77915,0.60236,0.85311,1.17588,2.33264,0.00123094,0.00123094,0.00123094
9,4000.59,0.88246,0.81699,2.27385,0.79612,0.76692,0.78721,0.6342,0.7125,1.20777,2.28059,0.00120265,0.00120265,0.00120265
10,4441.42,0.84912,0.79456,2.2696,0.82588,0.73005,0.78973,0.62448,0.76704,1.05494,2.30327,0.00117435,0.00117435,0.00117435
11,4879.46,0.85402,0.78527,2.26841,0.77841,0.75684,0.78632,0.62841,0.74863,1.62398,2.33912,0.00114606,0.00114606,0.00114606
12,5316.31,0.83529,0.76989,2.25279,0.82573,0.76723,0.80018,0.63957,0.72955,1.10477,2.235,0.00111776,0.00111776,0.00111776
13,5756.37,0.81986,0.74904,2.24968,0.82452,0.78555,0.81468,0.66243,0.68771,0.83494,2.27315,0.00108947,0.00108947,0.00108947
14,6190.43,0.81018,0.7275,2.22928,0.86294,0.77839,0.81358,0.65568,0.69511,1.07706,2.22514,0.00106118,0.00106118,0.00106118
15,6622.83,0.80546,0.71549,2.21872,0.80076,0.77614,0.81153,0.6585,0.711,0.99665,2.18648,0.00103288,0.00103288,0.00103288
16,7061.47,0.77907,0.6979,2.21035,0.83347,0.79561,0.82563,0.66826,0.66816,0.90266,2.2176,0.00100459,0.00100459,0.00100459
17,7499.41,0.77367,0.68966,2.20996,0.81681,0.78071,0.80905,0.67393,0.64935,0.8795,2.22326,0.000976293,0.000976293,0.000976293
18,7942.17,0.77541,0.68713,2.19601,0.83216,0.78066,0.81971,0.67166,0.66932,0.86899,2.19813,0.000947999,0.000947999,0.000947999
19,8387.62,0.7577,0.67738,2.19427,0.86157,0.7771,0.81585,0.67345,0.6649,0.89032,2.16475,0.000919704,0.000919704,0.000919704
20,8832.95,0.74109,0.65141,2.18403,0.86857,0.79686,0.81638,0.67401,0.62048,1.05648,2.16037,0.00089141,0.00089141,0.00089141
21,9281.38,0.73336,0.63868,2.16171,0.85055,0.75954,0.80129,0.66653,0.63038,1.23586,2.1584,0.000863116,0.000863116,0.000863116
22,9729.2,0.73193,0.63897,2.15351,0.83823,0.79642,0.81361,0.67839,0.61644,0.77715,2.13599,0.000834822,0.000834822,0.000834822
23,10169.3,0.71766,0.62381,2.16397,0.86043,0.7925,0.82271,0.69267,0.60608,0.85172,2.1517,0.000806528,0.000806528,0.000806528
24,10612.6,0.71457,0.61604,2.14166,0.85581,0.79581,0.8159,0.66997,0.61193,0.90788,2.12897,0.000778233,0.000778233,0.000778233
25,11052.2,0.70871,0.61385,2.15087,0.87228,0.78231,0.82742,0.68786,0.60338,0.78799,2.13944,0.000749939,0.000749939,0.000749939
26,11486.7,0.69174,0.59304,2.12852,0.88986,0.78358,0.824,0.70367,0.57752,0.81426,2.11923,0.000721645,0.000721645,0.000721645
27,11921.6,0.6858,0.57682,2.11815,0.86093,0.80588,0.83834,0.70623,0.57526,0.72311,2.08783,0.000693351,0.000693351,0.000693351
28,12354.8,0.68891,0.58509,2.13208,0.85336,0.79945,0.82258,0.69259,0.60886,0.86327,2.10268,0.000665057,0.000665057,0.000665057
29,12789.1,0.67944,0.58061,2.10501,0.85475,0.79999,0.82626,0.70152,0.57147,0.69076,2.08951,0.000636762,0.000636762,0.000636762
30,13226.6,0.67433,0.56743,2.11281,0.87387,0.79813,0.83922,0.71128,0.57023,0.67874,2.10536,0.000608468,0.000608468,0.000608468
31,13657.4,0.66389,0.55818,2.10627,0.85606,0.8073,0.83651,0.71034,0.57799,0.71858,2.09854,0.000580174,0.000580174,0.000580174
32,14084.9,0.65003,0.55428,2.107,0.90806,0.78251,0.83781,0.71438,0.56999,0.68672,2.07182,0.00055188,0.00055188,0.00055188
33,14536.4,0.64894,0.54111,2.087,0.86966,0.81669,0.83964,0.71715,0.55932,0.72566,2.05751,0.000523586,0.000523586,0.000523586
34,14990.7,0.63941,0.5416,2.07905,0.874,0.81109,0.83745,0.71411,0.56079,0.64464,2.06731,0.000495291,0.000495291,0.000495291
35,15423.2,0.63075,0.5226,2.07135,0.88384,0.80346,0.8425,0.71858,0.55873,0.61747,2.04911,0.000466997,0.000466997,0.000466997
36,15846.8,0.63161,0.52525,2.08613,0.88647,0.79872,0.83817,0.71842,0.54321,0.6317,2.06988,0.000438703,0.000438703,0.000438703
37,16273.7,0.61423,0.51164,2.06059,0.8867,0.81471,0.84493,0.72431,0.53951,0.59851,2.05325,0.000410409,0.000410409,0.000410409
38,16716.9,0.62342,0.51028,2.08021,0.87527,0.81969,0.84798,0.72571,0.54403,0.59767,2.05699,0.000382115,0.000382115,0.000382115
39,17168.1,0.61157,0.50338,2.05504,0.86447,0.81763,0.84114,0.72617,0.53835,0.58561,2.03948,0.00035382,0.00035382,0.00035382
40,17613.9,0.60675,0.49572,2.0381,0.87783,0.81133,0.84029,0.72644,0.52706,0.59363,2.04504,0.000325526,0.000325526,0.000325526
41,18030.2,0.47681,0.38723,2.09956,0.88018,0.81307,0.84181,0.72756,0.53314,0.59211,2.03427,0.000297232,0.000297232,0.000297232
42,18447.7,0.46,0.36907,2.08977,0.8734,0.81969,0.84382,0.73189,0.5222,0.51749,2.04871,0.000268938,0.000268938,0.000268938
43,18858.2,0.44777,0.35655,2.09413,0.8892,0.82058,0.84172,0.73013,0.51546,0.55052,2.03435,0.000240644,0.000240644,0.000240644
44,19274,0.43822,0.34851,2.07582,0.89582,0.80946,0.84682,0.7352,0.50997,0.50727,2.02818,0.000212349,0.000212349,0.000212349
45,19682.1,0.43494,0.34815,2.06491,0.88543,0.81939,0.84902,0.73758,0.50916,0.49731,2.02324,0.000184055,0.000184055,0.000184055
46,20090.7,0.42605,0.33636,2.09135,0.86856,0.83248,0.85031,0.73797,0.50309,0.47874,2.03028,0.000155761,0.000155761,0.000155761
47,20501.3,0.41828,0.32906,2.07368,0.87263,0.82799,0.84688,0.73856,0.50628,0.49267,2.01384,0.000127467,0.000127467,0.000127467
48,20913.2,0.40977,0.32369,2.06439,0.88733,0.82021,0.8467,0.73537,0.5053,0.51192,2.01737,9.91726e-05,9.91726e-05,9.91726e-05
49,21323.7,0.40388,0.32181,2.0283,0.88747,0.81713,0.84503,0.73669,0.50364,0.50447,2.00884,7.08784e-05,7.08784e-05,7.08784e-05
50,21730.9,0.40093,0.31847,2.05907,0.90268,0.81577,0.84623,0.73816,0.49803,0.48623,2.01551,4.25842e-05,4.25842e-05,4.25842e-05
